GISJOIN,YEAR,COUNTY,POPULATION
G1900590,1950,Dickinson,12756
G1900610,1950,Dubuque,71337
G1900630,1950,Emmet,14102
G1900650,1950,Fayette,28294
G1900670,1950,Floyd,21505
G1900690,1950,Franklin,16268
G1900710,1950,Fremont,12323
G1900730,1950,Greene,15544
G1900750,1950,Grundy,13722
G1900770,1950,Guthrie,15197
G1900790,1950,Hamilton,19660
G1900810,1950,Hancock,15077
G1900830,1950,Hardin,22218
G1900850,1950,Harrison,19560
G1900870,1950,Henry,18708
G1900890,1950,Howard,13105
G1900910,1950,Humboldt,13117
G1900930,1950,Ida,10697
G1900950,1950,Iowa,15835
G1900970,1950,Jackson,18622
G1900990,1950,Jasper,32305
G1901010,1950,Jefferson,15696
G1901030,1950,Johnson,45756
G1901050,1950,Jones,19401
G1901070,1950,Keokuk,16797
G1901090,1950,Kossuth,26241
G1901110,1950,Lee,43102
G1901130,1950,Linn,104274
G1901150,1950,Louisa,11101
G1901170,1950,Lucas,12069
G1901190,1950,Lyon,14697
G1901210,1950,Madison,13131
G1901230,1950,Mahaska,24672
G1901250,1950,Marion,25930
G1901270,1950,Marshall,35611
G1901290,1950,Mills,14064
G1901310,1950,Mitchell,13945
G1901330,1950,Monona,16303
G1901350,1950,Monroe,11814
G1901370,1950,Montgomery,15685
G1901390,1950,Muscatine,32148
G1901410,1950,O Brien,18970
G1901430,1950,Osceola,10181
G1901450,1950,Page,23921
G1901470,1950,Palo Alto,15891
G1901490,1950,Plymouth,23252
G1901510,1950,Pocahontas,15496
G1901530,1950,Polk,226010
G1901550,1950,Pottawattamie,69682
G1901570,1950,Poweshiek,19344
G1901590,1950,Ringgold,9528
G1901610,1950,Sac,17518
G1901630,1950,Scott,100698
G1901650,1950,Shelby,15942
G1901670,1950,Sioux,26381
G1901690,1950,Story,44294
G1901710,1950,Tama,21688
G1901730,1950,Taylor,12420
G1901750,1950,Union,15651
G1901770,1950,Van Buren,11007
G1901790,1950,Wapello,47397
G1901810,1950,Warren,17758
G1901830,1950,Washington,19557
G1901850,1950,Wayne,11737
G1901870,1950,Webster,44241
G1901890,1950,Winnebago,13450
G1901910,1950,Winneshiek,21639
G1901930,1950,Woodbury,103917
G1901950,1950,Worth,11068
G1901970,1950,Wright,19652
G2000010,1950,Allen,18187
G2000030,1950,Anderson,10267
G2000050,1950,Atchison,21496
G2000070,1950,Barber,8521
